"#","Game","Owners before","Owners after","Sales","Increase","Price","Max discount","Userscore (Metascore)"
"237","Warhammer: End Times - Vermintide","981,000","1,209,000","228,000","23.24%","$29.99","75% ($7.49)","82% (79%)"
"238","Dead Cells","900,000","1,208,000","308,000","34.22%","$24.99","40% ($11.99)","94% (89%)"
"239","Hitman 2: Silent Assassin","1,056,000","1,208,000","152,000","14.39%","$8.99","75% ($2.24)","85% (87%)"
"240","Age of Mythology: Extended Edition","1,144,000","1,204,000","60,000","5.24%","$29.99","75% ($7.49)","85% (66%)"
"241","Planet Coaster","1,100,000","1,203,000","103,000","9.36%","$44.99","60% ($17.99)","88% (84%)"
"242","Far Cry 2: Fortune's Edition","1,186,000","1,200,000","14,000","1.18%","$9.99","60% ($3.99)","74% (85%)"
"243","Mortal Kombat Komplete Edition","1,164,000","1,199,000","35,000","3.01%","$19.99","75% ($4.99)","88% (N/A)"
"244","Kingdom Come: Deliverance","1,093,000","1,198,000","105,000","9.61%","$59.99","40% ($35.99)","74% (76%)"
"245","Hearts of Iron IV","928,000","1,193,000","265,000","28.56%","$39.99","60% ($15.99)","86% (83%)"
"246","Far Cry 3 - Blood Dragon","1,170,000","1,186,000","16,000","1.37%","$14.99","60% ($5.99)","88% (81%)"
"247","Tropico 5","1,113,000","1,181,000","68,000","6.11%","$19.99","80% ($3.99)","77% (75%)"
"248","Slay the Spire","731,000","1,181,000","450,000","61.56%","$15.99","37% ($10.07)","96% (N/A)"
"249","Hollow Knight","810,000","1,179,000","369,000","45.56%","$14.99","34% ($9.89)","95% (87%)"
"250","Knights and Merchants","1,107,000","1,178,000","71,000","6.41%","$6.99","85% ($1.04)","83% (N/A)"
"251","Total War: ATTILA","1,013,000","1,177,000","164,000","16.19%","$44.99","80% ($8.99)","73% (80%)"
"252","STAR WARS - The Force Unleashed Ultimate Sith Edition","1,151,000","1,175,000","24,000","2.09%","$19.99","65% ($6.99)","64% (65%)"
"253","Enter the Gungeon","893,000","1,174,000","281,000","31.47%","$14.99","50% ($7.49)","93% (84%)"
"254","Aliens vs. Predator","1,144,000","1,174,000","30,000","2.62%","$14.99","90% ($1.49)","87% (68%)"
"255","Dragon Age: Origins - Ultimate Edition","1,156,000","1,171,000","15,000","1.3%","$29.99","75% ($7.49)","92% (91%)"
"256","Sanctum","1,144,000","1,166,000","22,000","1.92%","$9.99","80% ($1.99)","90% (70%)"
"257","Resident Evil 5/ Biohazard 5","1,089,000","1,162,000","73,000","6.7%","$19.99","75% ($4.99)","85% (86%)"
"258","Need For Speed: Hot Pursuit","1,108,000","1,158,000","50,000","4.51%","$19.99","85% ($2.99)","79% (86%)"
"259","ShellShock Live","913,000","1,155,000","242,000","26.51%","$6.99","40% ($4.19)","90% (N/A)"
"260","Earth 2160","913,000","1,155,000","242,000","26.51%","$4.99","80% ($0.99)","69% (73%)"
"261","Supreme Commander 2","1,116,000","1,154,000","38,000","3.41%","$12.99","75% ($3.24)","84% (77%)"
"262","Geometry Dash","1,028,000","1,152,000","124,000","12.06%","$3.99","75% ($0.99)","94% (N/A)"
"263","Dust: An Elysian Tail","1,119,000","1,150,000","31,000","2.77%","$14.99","75% ($3.74)","96% (N/A)"
"264","Warhammer 40,000: Dawn of War - Soulstorm","1,113,000","1,147,000","34,000","3.05%","$12.99","75% ($3.24)","94% (N/A)"
"265","S.T.A.L.K.E.R.: Shadow of Chernobyl","822,000","1,143,000","321,000","39.05%","$19.99","70% ($5.99)","94% (82%)"
"266","SPINTIRES","1,104,000","1,142,000","38,000","3.44%","$14.99","45% ($8.24)","84% (67%)"
"267","S.T.A.L.K.E.R.: Call of Pripyat","1,044,000","1,141,000","97,000","9.29%","$19.99","70% ($5.99)","95% (80%)"
"268","Sniper: Ghost Warrior 2","859,000","1,138,000","279,000","32.48%","$9.99","85% ($1.79)","70% (52%)"
"269","FINAL FANTASY VII","1,123,000","1,137,000","14,000","1.25%","$11.99","50% ($5.99)","92% (N/A)"
"270","Deus Ex: Mankind Divided","914,000","1,135,000","221,000","24.18%","$29.99","85% ($4.49)","68% (83%)"
"271","DiRT Rally","991,000","1,135,000","144,000","14.53%","$39.99","80% ($7.99)","89% (86%)"
"272","Depth","936,000","1,133,000","197,000","21.05%","$19.99","75% ($4.99)","88% (65%)"
"273","Pillars of Eternity","1,106,000","1,132,000","26,000","2.35%","$29.99","40% ($17.99)","84% (89%)"
"274","GRID 2","1,090,000","1,131,000","41,000","3.76%","$29.99","75% ($7.49)","80% (80%)"
"275","Call of Duty 4: Modern Warfare","1,088,000","1,130,000","42,000","3.86%","$19.99","51% ($9.79)","90% (92%)"
"276","Two Worlds Epic Edition","1,064,000","1,119,000","55,000","5.17%","$9.99","85% ($1.49)","70% (65%)"
"277","The Escapists","926,000","1,118,000","192,000","20.73%","$17.99","75% ($4.49)","89% (71%)"
"278","World of Goo","1,098,000","1,117,000","19,000","1.73%","$9.99","80% ($1.99)","93% (90%)"
"279","American Truck Simulator","961,000","1,112,000","151,000","15.71%","$19.99","75% ($4.99)","91% (76%)"
"280","Getting Over It with Bennett Foddy","1,029,000","1,110,000","81,000","7.87%","$7.99","40% ($4.79)","79% (N/A)"
"281","Assassin’s Creed III","1,069,000","1,102,000","33,000","3.09%","$19.99","66% ($6.79)","74% (80%)"
"282","DARK SOULS II","1,083,000","1,101,000","18,000","1.66%","$39.99","75% ($9.99)","87% (91%)"
"283","Mount & Blade","1,069,000","1,101,000","32,000","2.99%","$9.99","75% ($2.49)","91% (72%)"
"284","Dishonored 2","913,000","1,099,000","186,000","20.37%","$39.99","67% ($13.19)","79% (86%)"
"285","Hitman: Codename 47","972,000","1,094,000","122,000","12.55%","$7.99","75% ($1.99)","72% (73%)"
"286","Frostpunk","720,000","1,094,000","374,000","51.94%","$29.99","33% ($19.99)","87% (84%)"
"287","Antichamber","896,000","1,086,000","190,000","21.21%","$19.99","75% ($4.99)","95% (82%)"
"288","Turbo Pug DX","791,000","1,086,000","295,000","37.29%","$0.99","51% ($0.49)","84% (N/A)"
"289","STAR WARS: The Force Unleashed II","928,000","1,085,000","157,000","16.92%","$19.99","65% ($6.99)","59% (59%)"
"290","The Wolf Among Us","1,043,000","1,083,000","40,000","3.84%","$14.99","60% ($9.99)","97% (85%)"
"291","Worms Revolution","1,037,000","1,080,000","43,000","4.15%","$14.99","80% ($2.99)","84% (73%)"
"292","VVVVVV","1,048,000","1,078,000","30,000","2.86%","$4.99","50% ($2.49)","96% (81%)"
"293","Eador. Masters of the Broken World","845,000","1,069,000","224,000","26.51%","$19.99","80% ($3.99)","66% (74%)"
"294","Sniper: Ghost Warrior","1,011,000","1,056,000","45,000","4.45%","$7.99","85% ($1.19)","55% (55%)"
"295","Fallout 2: A Post Nuclear Role Playing Game","897,000","1,048,000","151,000","16.83%","$9.99","75% ($2.49)","93% (86%)"
"296","Assassin's Creed Odyssey","0","1,046,000","1,046,000","0%","$59.99","33% ($40.19)","85% (N/A)"
"297","Dungeons 2","1,003,000","1,044,000","41,000","4.09%","$19.99","85% ($2.99)","74% (70%)"
"298","Gang Beasts","994,000","1,044,000","50,000","5.03%","$19.99","37% ($12.59)","69% (N/A)"
"299","Contagion","765,000","1,043,000","278,000","36.34%","$9.99","75% ($2.49)","74% (62%)"
"300","Crysis","1,013,000","1,037,000","24,000","2.37%","$19.99","75% ($4.99)","82% (91%)"
"301","Planetary Annihilation","998,000","1,033,000","35,000","3.51%","$29.99","0% ($29.99)","57% (62%)"
"302","X-COM: UFO Defense","1,027,000","1,032,000","5,000","0.49%","$4.99","75% ($1.24)","96% (N/A)"
"303","Skullgirls","976,000","1,029,000","53,000","5.43%","$9.99","70% ($2.99)","95% (83%)"
"304","Injustice: Gods Among Us Ultimate Edition","992,000","1,029,000","37,000","3.73%","$19.99","75% ($4.99)","85% (N/A)"
"305","Dark Messiah of Might & Magic","998,000","1,025,000","27,000","2.71%","$9.99","75% ($2.49)","92% (72%)"
"306","Defy Gravity Extended","974,000","1,009,000","35,000","3.59%","$1.99","75% ($0.49)","86% (N/A)"
"307","NARUTO SHIPPUDEN: Ultimate Ninja STORM 4","786,000","1,003,000","217,000","27.61%","$29.99","75% ($7.49)","82% (N/A)"
"308","Super Hexagon","866,000","1,003,000","137,000","15.82%","$2.99","69% ($0.92)","97% (88%)"
"309","Overlord II","984,000","1,001,000","17,000","1.73%","$9.99","75% ($2.49)","87% (79%)"
"310","Who's Your Daddy","860,000","1,001,000","141,000","16.4%","$4.99","25% ($3.74)","72% (N/A)"
"311","Slime Rancher","932,000","998,000","66,000","7.08%","$19.99","50% ($9.99)","96% (81%)"
"312","Ryse: Son of Rome","951,000","997,000","46,000","4.84%","$14.99","75% ($3.74)","83% (61%)"
"313","ASTRONEER","928,000","992,000","64,000","6.9%","$29.99","20% ($15.99)","86% (N/A)"
"314","Supreme Commander: Forged Alliance","713,000","992,000","279,000","39.13%","$12.99","80% ($2.59)","96% (81%)"
"315","Verdun","870,000","982,000","112,000","12.87%","$24.99","60% ($9.99)","84% (70%)"
"316","Microsoft Flight Simulator X: Steam Edition","920,000","975,000","55,000","5.98%","$24.99","70% ($7.49)","78% (N/A)"
"317","Ori and the Blind Forest: Definitive Edition","855,000","974,000","119,000","13.92%","$19.99","50% ($9.99)","96% (88%)"
"318","Bully: Scholarship Edition","907,000","974,000","67,000","7.39%","$14.99","65% ($5.24)","82% (72%)"
"319","SpaceChem","945,000","972,000","27,000","2.86%","$9.99","75% ($2.49)","96% (84%)"
"320","Lara Croft and the Guardian of Light","959,000","970,000","11,000","1.15%","$9.99","85% ($1.49)","92% (82%)"
"321","Train Simulator 2019","890,000","968,000","78,000","8.76%","$29.99","77% ($9.19)","63% (N/A)"
"322","LEGO Marvel Super Heroes","916,000","968,000","52,000","5.68%","$19.99","75% ($4.99)","91% (78%)"
"323","Gorky 17","779,000","967,000","188,000","24.13%","$4.99","80% ($0.99)","82% (N/A)"
"324","Deadlight","844,000","965,000","121,000","14.34%","$14.99","80% ($2.99)","80% (78%)"
"325","Project CARS","903,000","959,000","56,000","6.2%","$29.99","75% ($7.49)","75% (83%)"
"326","Project Zomboid","836,000","955,000","119,000","14.23%","$14.99","40% ($8.99)","86% (N/A)"
"327","Deponia","833,000","954,000","121,000","14.53%","$39.99","90% ($0.99)","89% (74%)"
"328","SUPERHOT","813,000","950,000","137,000","16.85%","$24.99","50% ($12.49)","85% (82%)"
"329","Spelunky","866,000","944,000","78,000","9.01%","$14.99","80% ($2.99)","91% (90%)"
"330","Two Worlds II HD","786,000","944,000","158,000","20.1%","$19.99","75% ($4.99)","57% (76%)"
"331","Dragon's Dogma: Dark Arisen","826,000","942,000","116,000","14.04%","$29.99","70% ($8.99)","87% (81%)"
"332","Magicka 2","763,000","941,000","178,000","23.33%","$14.99","75% ($3.74)","77% (69%)"
"333","Crysis Warhead","912,000","939,000","27,000","2.96%","$19.99","75% ($4.99)","83% (84%)"
"334","Assassin’s Creed Brotherhood","884,000","939,000","55,000","6.22%","$19.99","60% ($7.99)","87% (88%)"
"335","Deus Ex: Invisible War","910,000","938,000","28,000","3.08%","$6.99","86% ($0.97)","58% (80%)"
"336","The Talos Principle","856,000","933,000","77,000","9%","$39.99","85% ($5.99)","95% (85%)"
"337","STAR WARS Jedi Knight - Mysteries of the Sith","811,000","927,000","116,000","14.3%","$2.99","66% ($1.01)","64% (N/A)"
"338","Five Nights at Freddy's","903,000","926,000","23,000","2.55%","$4.99","75% ($1.24)","88% (78%)"
"339","FINAL FANTASY XIV Online","785,000","925,000","140,000","17.83%","$19.99","0% ($19.99)","82% (83%)"
"340","Resident Evil Revelations 2 / Biohazard Revelations 2","869,000","925,000","56,000","6.44%","$5.99","87% ($0.77)","76% (N/A)"
"341","Sonic & All-Stars Racing Transformed Collection","882,000","924,000","42,000","4.76%","$19.99","75% ($4.99)","95% (N/A)"
"342","Mafia III","767,000","922,000","155,000","20.21%","$39.99","75% ($9.99)","48% (62%)"
"343","Command & Conquer: Red Alert 3","863,000","919,000","56,000","6.49%","$19.99","75% ($4.99)","83% (82%)"
"344","Tomb Raider: Underworld","900,000","916,000","16,000","1.78%","$8.99","89% ($0.98)","75% (80%)"
"345","Black Mesa","680,000","914,000","234,000","34.41%","$19.99","60% ($7.99)","93% (86%)"
"346","NBA 2K18","603,000","911,000","308,000","51.08%","$59.99","84% ($9.59)","27% (87%)"
"347","METAL GEAR SOLID V: GROUND ZEROES","863,000","910,000","47,000","5.45%","$19.99","80% ($3.99)","82% (80%)"
"348","Valkyria Chronicles","875,000","908,000","33,000","3.77%","$19.99","66% ($6.79)","91% (N/A)"
"349","Kingdoms of Amalur: Reckoning","878,000","907,000","29,000","3.3%","$19.99","75% ($4.99)","87% (81%)"
"350","Conan Exiles","847,000","899,000","52,000","6.14%","$39.99","50% ($19.99)","68% (68%)"
"351","resident evil 4 / biohazard 4","817,000","898,000","81,000","9.91%","$19.99","75% ($4.99)","83% (79%)"
"352","Tales from the Borderlands","803,000","896,000","93,000","11.58%","$14.99","60% ($9.99)","95% (N/A)"
"353","Supreme Commander","742,000","894,000","152,000","20.49%","$12.99","80% ($2.59)","86% (86%)"
"354","Firewatch","772,000","890,000","118,000","15.28%","$19.99","75% ($4.99)","85% (81%)"
"355","NieR:Automata","712,000","889,000","177,000","24.86%","$59.99","50% ($29.99)","84% (84%)"
"356","Dragon Age: Origins","794,000","888,000","94,000","11.84%","$19.99","85% ($2.99)","93% (91%)"
"357","Artifact","0","887,000","887,000","0%","$19.99","0% ($19.99)","53% (76%)"
"358","Tomb Raider: Legend","778,000","886,000","108,000","13.88%","$6.99","86% ($0.97)","87% (82%)"
"359","Tom Clancy’s Splinter Cell Blacklist","861,000","885,000","24,000","2.79%","$29.99","66% ($10.19)","83% (N/A)"
"360","Renegade Ops","854,000","880,000","26,000","3.04%","$15","80% ($3)","84% (76%)"
"361","Assassin's Creed: Director's Cut Edition","832,000","879,000","47,000","5.65%","$19.99","66% ($6.79)","82% (79%)"
"362","Lost Castle","673,000","874,000","201,000","29.87%","$9.99","45% ($5.49)","90% (N/A)"
"363","S.T.A.L.K.E.R.: Clear Sky","773,000","870,000","97,000","12.55%","$9.99","70% ($2.99)","85% (75%)"
"364","Binary Domain","736,000","866,000","130,000","17.66%","$14.99","75% ($3.74)","85% (68%)"
"365","Scrap Mechanic","726,000","866,000","140,000","19.28%","$19.99","40% ($11.99)","84% (N/A)"
"366","Quantum Break","613,000","864,000","251,000","40.95%","$39.99","75% ($9.99)","85% (66%)"
"367","Fallout 3","827,000","862,000","35,000","4.23%","$9.99","75% ($2.49)","78% (91%)"
"368","Far Cry 5","745,000","862,000","117,000","15.7%","$59.99","50% ($29.99)","68% (N/A)"
"369","STAR WARS Starfighter","527,000","860,000","333,000","63.19%","$5.99","66% ($2.03)","49% (71%)"
"370","DEFCON","842,000","859,000","17,000","2.02%","$9.99","85% ($1.49)","84% (84%)"
"371","INSIDE","695,000","853,000","158,000","22.73%","$19.99","60% ($7.99)","95% (87%)"
"372","Worms Reloaded","845,000","852,000","7,000","0.83%","$19.99","80% ($3.99)","84% (79%)"
"373","Town of Salem","737,000","850,000","113,000","15.33%","$4.99","50% ($2.49)","87% (N/A)"
"374","Red Orchestra: Ostfront 41-45","808,000","848,000","40,000","4.95%","$9.99","85% ($1.49)","83% (81%)"
"375","Anno 2070","833,000","848,000","15,000","1.8%","$19.99","75% ($4.99)","59% (83%)"
"376","Stranded Deep","835,000","841,000","6,000","0.72%","$14.99","0% ($14.99)","74% (N/A)"
"377","Call of Duty: WWII","830,000","841,000","11,000","1.33%","$59.99","40% ($35.99)","54% (N/A)"
"378","Evolvation","2,000","840,000","838,000","41900%","$9.99","25% ($7.49)","N/A (N/A)"
"379","Anomaly: Warzone Earth","819,000","839,000","20,000","2.44%","$9.99","85% ($1.49)","87% (80%)"
"380","Assassin's Creed Revelations","788,000","836,000","48,000","6.09%","$19.99","60% ($7.99)","84% (80%)"
"381","Ultimate Chicken Horse","648,000","835,000","187,000","28.86%","$14.99","50% ($7.49)","94% (N/A)"
"382","Sid Meier's Pirates!","778,000","834,000","56,000","7.2%","$9.99","75% ($2.49)","93% (88%)"
"383","FINAL FANTASY XV WINDOWS EDITION","446,000","833,000","387,000","86.77%","$49.99","50% ($24.99)","78% (N/A)"
"384","Viscera Cleanup Detail: Santa's Rampage","804,000","832,000","28,000","3.48%","$2.49","33% ($1.66)","90% (N/A)"
"385","The Evil Within","733,000","831,000","98,000","13.37%","$19.99","75% ($4.99)","80% (68%)"
"386","Sonic Generations Collection","741,000","829,000","88,000","11.88%","$19.99","75% ($4.99)","92% (77%)"
"387","Gunpoint","710,000","829,000","119,000","16.76%","$9.99","50% ($4.99)","97% (83%)"
"388","The Descendant","647,000","825,000","178,000","27.51%","$14.99","67% ($4.94)","87% (59%)"
"389","The Incredible Adventures of Van Helsing","588,000","823,000","235,000","39.97%","$14.99","75% ($3.74)","83% (72%)"
"390","Stronghold Crusader 2","663,000","819,000","156,000","23.53%","$39.99","90% ($3.99)","62% (65%)"
"391","Gauntlet Slayer Edition","769,000","816,000","47,000","6.11%","$19.99","75% ($4.99)","77% (N/A)"
"392","Little Inferno","729,000","814,000","85,000","11.66%","$9.99","50% ($4.99)","94% (68%)"
"393","Move or Die","703,000","812,000","109,000","15.5%","$14.99","67% ($4.94)","87% (80%)"
"394","Oxygen Not Included","563,000","811,000","248,000","44.05%","$24.99","25% ($18.74)","93% (N/A)"
"395","Superbrothers: Sword & Sworcery EP","661,000","811,000","150,000","22.69%","$7.99","70% ($2.39)","79% (N/A)"
"396","Watch_Dogs 2","723,000","810,000","87,000","12.03%","$59.99","70% ($17.99)","80% (N/A)"
"397","The Swapper","797,000","807,000","10,000","1.25%","$14.99","85% ($2.24)","95% (87%)"
"398","Guacamelee! Gold Edition","764,000","807,000","43,000","5.63%","$14.99","85% ($2.25)","94% (88%)"
"399","Rise of Nations: Extended Edition","772,000","799,000","27,000","3.5%","$19.99","75% ($4.99)","91% (89%)"
"400","Duck Game","687,000","797,000","110,000","16.01%","$12.99","61% ($5.06)","96% (82%)"
"401","SPORE Creepy & Cute Parts Pack","788,000","794,000","6,000","0.76%","$19.99","75% ($4.99)","81% (N/A)"
"402","Starpoint Gemini 2","703,000","793,000","90,000","12.8%","$34.99","85% ($5.24)","70% (70%)"
"403","Worms Armageddon","744,000","791,000","47,000","6.32%","$14.99","80% ($2.99)","93% (N/A)"
"404","Wargame: European Escalation","782,000","790,000","8,000","1.02%","$9.99","85% ($1.49)","75% (81%)"
"405","Overcast - Walden and the Werewolf","737,000","788,000","51,000","6.92%","$0.99","51% ($0.49)","60% (N/A)"
"406","DRAGON BALL XENOVERSE","681,000","788,000","107,000","15.71%","$39.99","75% ($9.99)","87% (N/A)"
"407","HuniePop","643,000","787,000","144,000","22.4%","$9.99","75% ($2.49)","96% (N/A)"
"408","Shadowrun: Dragonfall - Director's Cut","758,000","787,000","29,000","3.83%","$14.99","75% ($3.74)","89% (87%)"
"409","Miscreated","760,000","782,000","22,000","2.89%","$24.99","60% ($9.99)","69% (N/A)"
"410","Wolfenstein: The Old Blood","641,000","776,000","135,000","21.06%","$19.99","67% ($6.59)","88% (76%)"
"411","BeamNG.drive","557,000","771,000","214,000","38.42%","$24.99","33% ($16.74)","89% (N/A)"
"412","Cities in Motion 2","739,000","771,000","32,000","4.33%","$19.99","75% ($4.99)","59% (72%)"
"413","Tomb Raider I","764,000","770,000","6,000","0.79%","$6.99","86% ($0.97)","82% (N/A)"
"414","Overcooked","578,000","767,000","189,000","32.7%","$16.99","75% ($4.24)","91% (81%)"
"415","HELLDIVERS A New Hell Edition","655,000","767,000","112,000","17.1%","$19.99","50% ($9.99)","92% (83%)"
"416","Zombie Army Trilogy","654,000","767,000","113,000","17.28%","$44.99","80% ($8.99)","86% (72%)"
"417","Divinity II: Developer's Cut","576,000","762,000","186,000","32.29%","$19.99","90% ($1.99)","81% (N/A)"
"418","Race The Sun","630,000","760,000","130,000","20.63%","$9.99","80% ($1.99)","94% (79%)"
"419","Warhammer 40,000: Dawn of War III","649,000","759,000","110,000","16.95%","$39.99","80% ($7.99)","46% (77%)"
"420","Uplink","745,000","759,000","14,000","1.88%","$9.99","85% ($1.49)","90% (75%)"
"421","Ultra Street Fighter IV","743,000","755,000","12,000","1.62%","$29.99","75% ($7.49)","89% (N/A)"
"422","Woodle Tree Adventures","702,000","754,000","52,000","7.41%","$2.99","0% ($2.99)","69% (N/A)"
"423","Murdered: Soul Suspect","727,000","751,000","24,000","3.3%","$29.99","90% ($2.99)","85% (59%)"
"424","Wasteland 2: Director's Cut","710,000","750,000","40,000","5.63%","$29.99","50% ($14.99)","82% (87%)"
"425","Car Mechanic Simulator 2015","741,000","749,000","8,000","1.08%","$19.99","90% ($1.99)","90% (68%)"
"426","Cave Story+","718,000","748,000","30,000","4.18%","$14.99","50% ($7.49)","95% (83%)"
"427","Remember Me","743,000","745,000","2,000","0.27%","$29.99","80% ($5.99)","83% (65%)"
"428","Dead Rising 2","708,000","745,000","37,000","5.23%","$19.99","70% ($5.99)","74% (78%)"
"429","Wargame: Red Dragon","478,000","745,000","267,000","55.86%","$29.99","70% ($8.99)","86% (78%)"
"430","Hand Simulator","721,000","744,000","23,000","3.19%","$1.99","50% ($0.99)","78% (N/A)"
"431","Sniper Elite 4","613,000","743,000","130,000","21.21%","$59.99","85% ($8.99)","85% (78%)"
"432","Warlock - Master of the Arcane","734,000","743,000","9,000","1.23%","$24.99","75% ($6.24)","86% (71%)"
"433","Game of Thrones - A Telltale Games Series","718,000","740,000","22,000","3.06%","$14.99","50% ($14.99)","76% (N/A)"
"434","Operation Flashpoint: Dragon Rising","707,000","740,000","33,000","4.67%","$9.99","75% ($2.49)","63% (76%)"
